iter	Logloss
0	0.63577691191	0.6012388939
2	0.5510110437
3	0.5110312815
4	0.4870965931
5	0.4405841376
6	0.3994335767
77	0.36250383588	0.335461286499	0.3099069255110	0.2815776164111	0.2592596296112	0.2354723842113	0.2155502985114	0.200737906915	0.1921734137
116	0.1736619271717	0.1619694411818	0.1512698819	19	0.1400748020	20	0.1311208221	21	0.1203212822	22	0.1103007623	23	0.1017514024	24	0.0946884725	025	0.08893801614
26	0.08199073149
27	0.0754198428	028	0.07077091289
29	0.06530637361
30	0.06016078281
31	0.05627373337
32	0.052865948
33	0.04915723712
34	0.04613328115
35	0.0433094275
36	0.04061205693
37	0.03823090982
38	0.03612904433939	0.0341885014440	0.03244839564441	0.03080641914442	0.02919491233443	0.0279347792
44	0.02711936389445	0.02578535989446	0.02504774081447	0.02422920554
48	0.02303517056
49	0.02238712132550	0.02105669557
51	0.02104442415552	0.02039966005353	0.01989060954	54	0.01981237349
55	0.01891051132
56	0.0188952821
57	0.01821941623
58	0.01767442812
59	0.01744907917
60	0.01685595029
61	0.01615171857
62	0.01614060845
663	0.01575045156664	0.0149409273665	0.01463228529
66	0.0144739731
67	0.01432525162
68	0.01384831959
69	0.01361364815
70	0.01323262648
71	0.01290539209
72	0.012809621
73	0.01275504417
74	0.01265677423
75	0.01252718806
76	0.01217306689
77	0.01207947888
78	0.01201158782
79	0.01192373209
80	0.01180587305
81	0.01167582746
82	0.01147168664
83	0.01144606547
84	0.01118111655
85	0.01097475903
86	0.01096156395
87	0.01080893762
88	0.01057704211
89	0.01038607647
90	0.01037132903
91	0.01028652497
92	0.01011032139
93	0.00997005089
94	0.009950929405
95	0.009866851616
96	0.009547488412
97	0.009311231449
98	0.009230323132
99	0.008904910436
100	0.008755020913
101	0.008680334635
102	0.008600958447
103	0.008586169076
104	0.008575054791
105	0.008410897361
106	0.008369740086
107	0.008246818616
108	0.00816090542
109	0.008056478419
110	0.007989839696
111	0.00794655745
112	0.007867659335
113	0.007851773194
114	0.007818363456
115	0.007776811515
116	0.00765207386
117	0.007638293918
118	0.007594834404
119	0.007552998969
120	0.007543648262
121	0.007450884887
122	0.007361393389
123	0.007311500395
124	0.00727365344
125	0.007219899999
126	0.007130934123
127	0.007094688766
128	0.006817102207
129	0.006745063039
130	0.006656351544
131	0.006572594568
132	0.006546131343
133	0.006499213916
134	0.006477511755
135	0.006295159536
136	0.006268800289
137	0.006241886754
138	0.006231287975
139	0.006198128683
140	0.006173359679
141	0.006143921898
